Date,RegionID,RegionName,State,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,193182,Bath Beach,NY,Kings County,New York,118,687400,0.000291036,-0.001597676,0.009694477,0.062311949,0.046316014,2018-10,2018-Q4,696300,-0.012781847,2018-06
4/30/2019,62020,Bay Ridge,NY,Kings County,New York,59,1024200,0.004610103,0.029139871,0.058276503,0.056310911,0.049014829,2019-04,2019-Q2,1024200,0,2019-04
4/30/2019,62027,Bedford-Stuyvesant,NY,Kings County,New York,488,824100,-0.005670849,-0.024387356,-0.030812654,0.075537888,0.074076388,2018-10,2018-Q4,870800,-0.053628847,2017-11
4/30/2019,62025,Bensonhurst,NY,Kings County,New York,75,704000,0.001422475,-0.002126152,0.012512584,0.064849221,0.04670375,2018-07,2018-Q3,713200,-0.012899607,2018-06
4/30/2019,193292,Bergen Beach,NY,Kings County,New York,3694,784700,0.007187781,0.0090009,0.035087719,0.04682956,0.029874925,2018-11,2018-Q4,785400,-0.000891266,2018-11
4/30/2019,62028,Boerum Hill,NY,Kings County,New York,1299,1202200,-0.004471679,0.001582938,-0.069000232,0.042634482,0.050277328,2017-05,2017-Q2,1315800,-0.086335309,2015-11
4/30/2019,62030,Borough Park,NY,Kings County,New York,398,842400,0.002857143,0.02469286,0.056168506,0.084163069,0.054715203,2019-04,2019-Q2,842400,0,2019-04
4/30/2019,193476,Brighton Beach,NY,Kings County,New York,352,696700,0.017674554,0.045311328,-0.006559247,0.031750018,0.030980702,2018-02,2018-Q1,704800,-0.011492622,2018-01
4/30/2019,403122,Brooklyn Heights,NY,Kings County,New York,503,1789500,0.011474113,0.009989841,-0.074811291,0.025865038,0.036059222,2017-04,2017-Q2,2133200,-0.161119445,2014-10
4/30/2019,62023,Brownsville,NY,Kings County,New York,55,458300,0.00152972,0.007031422,0.071796071,0.098282698,0.032422647,2018-11,2018-Q4,459300,-0.002177226,2018-11
4/30/2019,62032,Bushwick,NY,Kings County,New York,64,916200,-0.018952779,-0.048301652,-0.028934817,0.114638745,0.078956526,2018-11,2018-Q4,986200,-0.070979517,2018-03
4/30/2019,62046,Canarsie,NY,Kings County,New York,228,484900,-0.008789861,-0.009599673,0.056657224,0.060495369,0.029661232,2019-02,2019-Q1,491600,-0.013628967,2018-11
4/30/2019,62041,Carroll Gardens,NY,Kings County,New York,2049,1134700,0.000440839,-0.007955936,-0.082403364,0.055730112,0.054128587,2016-09,2016-Q3,1270700,-0.107027623,2015-12
4/30/2019,62016,Clinton Hill,NY,Kings County,New York,1444,811600,0.009327198,-0.006122949,-0.004049577,0.08318027,0.055386121,2018-10,2018-Q4,851800,-0.047194177,2018-04
4/30/2019,270816,Cobble Hill,NY,Kings County,New York,1823,1328700,-0.004719101,0.005068079,-0.054978663,0.038973525,0.052240955,2016-04,2016-Q2,1430000,-0.070839161,2015-12
4/30/2019,403219,Columbia St,NY,Kings County,New York,3201,895900,-0.002560677,-0.006652622,0.004147052,0.065652753,0.05365916,2018-11,2018-Q4,913900,-0.019695809,2018-07
4/30/2019,193974,Coney Island,NY,Kings County,New York,195,566000,-0.002115656,0.004614838,0.079122974,0.076782366,0.047546371,2019-03,2019-Q1,567200,-0.002115656,2019-03
4/30/2019,62024,Crown Heights,NY,Kings County,New York,402,905600,-0.00428807,-0.003411467,0.042837402,0.099650696,0.061581323,2019-02,2019-Q1,910900,-0.005818421,2018-10
4/30/2019,62019,Cypress Hills,NY,Kings County,New York,341,473400,-0.003787879,-0.006922593,0.058350101,0.077859468,0.037691,2019-01,2019-Q1,476700,-0.006922593,2018-11
4/30/2019,270825,Downtown Brooklyn,NY,Kings County,New York,1203,1019600,-0.006044063,-0.005268293,0.000588813,0.047723544,0.053841399,2017-05,2017-Q2,1055100,-0.0336461,2017-04
4/30/2019,270841,DUMBO,NY,Kings County,New York,4192,1584100,0.000189418,-0.002644337,-0.014863184,0.060579725,0.05345183,2018-03,2018-Q1,1611000,-0.016697703,2017-12
4/30/2019,62038,Dyker Heights,NY,Kings County,New York,3814,908200,-0.003073546,-0.007214692,0.008999,0.056431418,0.047666472,2018-11,2018-Q4,921700,-0.014646848,2018-09
4/30/2019,62014,East Flatbush,NY,Kings County,New York,462,522100,-0.001720841,-0.004385965,0.053045583,0.07778429,0.032796367,2018-11,2018-Q4,532900,-0.020266467,2018-09
4/30/2019,62037,East New York,NY,Kings County,New York,10,819000,-0.001949793,-0.011227816,0.048252912,0.118857576,0.063115164,2018-11,2018-Q4,830400,-0.013728324,2018-07
4/30/2019,62021,Flatbush,NY,Kings County,New York,750,810900,-0.000123305,0.004832714,-0.003685957,0.077005494,0.051086538,2018-06,2018-Q2,823500,-0.015300546,2018-04
4/30/2019,62044,Flatlands,NY,Kings County,New York,109,619000,-0.002417405,0.002916397,0.059931507,0.069727916,0.039596531,2019-03,2019-Q1,620500,-0.002417405,2019-02
4/30/2019,273766,Fort Greene,NY,Kings County,New York,242,1042200,-0.014001892,-0.019751693,-0.063275211,0.055828307,0.04693507,2018-05,2018-Q2,1113500,-0.06403233,2017-03
4/30/2019,8731,Fort Hamilton,NY,Kings County,New York,379,852700,0.001644544,0.009709888,-0.004320411,0.054074286,0.047854804,2018-10,2018-Q4,865500,-0.014789139,2017-08
4/30/2019,270846,Gowanus,NY,Kings County,New York,590,1095400,-0.007520159,-0.028125277,-0.067665333,0.048434867,0.05819151,2018-05,2018-Q2,1191300,-0.080500294,2018-02
4/30/2019,62034,Gravesend,NY,Kings County,New York,286,900500,0.000777951,0.005134502,0.009415985,0.067072405,0.054437359,2018-10,2018-Q4,908300,-0.008587471,2018-07
4/30/2019,62033,Greenpoint,NY,Kings County,New York,1124,986800,0.001115958,-0.004439064,-0.026152176,0.059596343,0.064816638,2017-06,2017-Q2,1032900,-0.04463162,2016-08
4/30/2019,62029,Kensington,NY,Kings County,New York,282,1096500,-0.010111041,0.002376817,0.136151694,0.103273321,0.066180234,2019-03,2019-Q1,1107700,-0.010111041,2019-02
4/30/2019,196156,Manhattan Beach,NY,Kings County,New York,2450,1533600,0.011009295,0.043691303,0.016504275,0.040017725,0.019958349,2015-07,2015-Q3,1600500,-0.041799438,2015-05
4/30/2019,62040,Midwood,NY,Kings County,New York,56,1121800,-0.002844444,0.003937713,0.087331589,0.088123932,0.055909687,2019-03,2019-Q1,1125000,-0.002844444,2019-02
4/30/2019,270888,Mill Basin,NY,Kings County,New York,1138,843900,0.003448276,0.002375579,0.031410413,0.052984555,0.02507051,2006-06,2006-Q2,870800,-0.030891135,2006-01
4/30/2019,270881,Navy Yard,NY,Kings County,New York,418,679000,0,0.001179593,0.035850496,0.069478102,0.045173892,2018-11,2018-Q4,680600,-0.002350867,2018-11
4/30/2019,62026,Park Slope,NY,Kings County,New York,114,1213700,-0.005978706,-0.017883153,-0.06674356,0.060596427,0.054030463,2018-05,2018-Q2,1301900,-0.067747139,2017-09
4/30/2019,62048,Prospect Heights,NY,Kings County,New York,142,965200,0.000310913,-0.004229857,-0.072547324,0.053466066,0.05702983,2018-05,2018-Q2,1046700,-0.077863762,2017-03
4/30/2019,62022,Prospect-Lefferts Gardens,NY,Kings County,New York,108,964100,-0.002276726,0.001870519,-0.005467299,0.043371356,0.054387671,2017-11,2017-Q4,981100,-0.01732749,2017-09
4/30/2019,62036,Red Hook,NY,Kings County,New York,356,1355000,0.000443001,-0.01411525,0.003778058,0.12408323,0.080297657,2017-02,2017-Q1,1427600,-0.050854581,2016-11
4/30/2019,62035,Sea Gate,NY,Kings County,New York,845,566400,-0.001762425,0.004968062,0.078651685,0.076934519,0.047649836,2019-03,2019-Q1,567400,-0.001762425,2019-03
4/30/2019,62045,Sheepshead Bay,NY,Kings County,New York,17,727200,0.006783885,0.021204887,0.003172851,0.056678713,0.041100907,2019-04,2019-Q2,727200,0,2019-04
4/30/2019,62015,Vinegar Hills,NY,Kings County,New York,385,924300,0.001842619,0.014822134,0.033430233,0.073017115,0.056634712,2019-04,2019-Q2,924300,0,2019-04
4/30/2019,62017,Williamsburg,NY,Kings County,New York,43,737300,-0.005798274,0.000950312,0.085861561,0.091321548,0.06129717,2019-03,2019-Q1,741600,-0.005798274,2019-02
4/30/2019,270968,Windsor Terrace,NY,Kings County,New York,778,1266000,-0.001498541,0.005480105,0.029017313,0.109766532,0.071334231,2018-10,2018-Q4,1271600,-0.004403901,2018-07
4/30/2019,270945,Sunset Park,NY,Kings County,New York,38,525000,-0.008685801,-0.026515854,-0.044585987,0.078798707,0.043242673,2018-06,2018-Q2,551900,-0.048740714,2018-03
4/30/2019,193330,South Slope,NY,Kings County,New York,6322,282400,0.004982206,0.03595011,0.092034029,0.050444532,0.032852678,2019-04,2019-Q2,282400,0,2019-04
4/30/2019,343892,Vinegar Hill,NY,Kings County,New York,4209,1294700,-0.010848804,-0.019612297,-0.078308536,0.001209287,0.026246461,2017-07,2017-Q3,1473600,-0.121403366,2014-05
